1,4,0,0,0,4,0,PC1,France,Non,France,2021,Général,"Histoire géographie, géopolitique et sciences politiques|Sciences économiques et sociales",Assez bien,Fournis,Oui,Non,Non,,Non,,,,,,,,,,,1,Galis - Agence de design de stand - 4 semaine(s),4,3,"Pause Primeur à Crécy la Chapelle - 10 mois
Boulangerie Pon-Pon à Decazeville  - 1 mois
Agence Kinougarde - garde d'enfants - 5 mois",16,Science Politique ,Université Paris 8 Vincennes - Saint-Denis,"moyenne S1 : 12,95
moyenne S2 : 12,96
moyenne S3 : 12,805
moyenne S4 : 13,92
moyenne S5 : 13,625
moyenne totale : 13,252","En vue des attentes que le parcours ""culture et politique : mots, images, théories"" met en avant, je pense que le cours sur L'étude des mouvements sociaux est un atout pour pouvoir mieux appréhender la structuration et la construction du champ politique que nous connaissons. De plus, le cours sur Les théories de la démocratie m'a permis de comprendre les représentations et figurations du politique ainsi que l’analyse des langages politiques et des processus de catégorisations et leurs circulations. Pour terminer par le dernier cours, qui j'estime fut une bonne préparation au parcours proposé, serait le cours sur les Médias et l'espace public car en effet ce dernier m'a permis de mieux saisir la manière dont les productions artistiques, culturelles et les discours et pratiques des producteurs contribuent à façonner ou légitimer les rapports sociaux et politiques par le biais des journalistes et des médias au sens plus large. ","Ayant toujours était très intéressée par le milieu de la communication j'espère pouvoir utiliser les apports de ce master pour ensuite m'orienter dans la communication politique, j'ai notamment l'ambition de faire un stage au sein de l'Assemblée Nationale dans laquelle j'ai déjà pu discuter avec les gestionnaire au ptorocole ou bien auprès de la DRAC (direction régionale des affaires culturelles). Cependant, mes ambitions ne se restreignent pas à cette voix puisque j'aspire éventuellement à m'orienter vers le domaine de l'édition ou des métiers du livre car cela est une passion pour moi depuis petite.  "
2,0,0,0,0,0,0,PC2,Espagne,Non,France,2020,Général,Economique et social (ES),Très bien,Fournis - Voici le relevé de notes. Je commente que c'est un seul document avec le rélevé de notes de tout les années malheuresement sont beaucoups car j'ai du rédoubler et suis en AJAC L2-L3  maintenant. ,Non,Non,Non,,Non,,,,,,,,,,,2,"Air Nostum - 1 semaine(s)
Embassade de France en Espagne, Madrid - 1 semaine(s)",2,2,"CONSUM - 2 mois
Herba - 2 mois",4,Philosophie parcours humanités,Paris 1 Panthéon Sorbonne,12,L'idéologie cours de Philosophie Politique. L'aliénation Cours de Philosophie General et Philosophie de Droit,Professeur ou politicien chez moi
3,4,0,0,0,4,0,PC3,France,Non,France,2018,Général,Scientifique (S),Bien,Fournis - Les notes du M2 seront délivrées par mon établissement en septembre 2024. ,Oui,Non,Non,,Non,,,,,,,,,,,4,"Cabinet Boamah  - 4 semaine(s)
Cabinet Dujoncquoy - 4 semaine(s)
CITOYENS.COM - 6 semaine(s)
RADIO FRANCE - France Inter  - 8 semaine(s)",22,2,"Lycée Edouard Branly (Nogent-sur-Marne)  - 12 mois
Lycée Michel de Montaigne (Bordeaux) - 19 mois",31,"Je suis inscrit en Master 2, de la mention science politique parcours Politique Comparée et Coopération Internationale : Amériques.",Université de Bordeaux ,"Licence : 
S1 : 14,816
S2 : 15,134
S3 : 14,511
S4 : 14,419
S5 : 12,895
S6 : 14,625 

Moyenne licence : 14,4/20

Master : 

M1 : 14,91/20","En licence : 

""US politics"" et ""UK politics"" pour leur approche aréale de la politique britannique et américaine. Enfin, le cours ""From Empire to Commonwealth"" pour la critique des héritages historico-culturels des pays du Commonwealth colonisés par la couronne britannique. 

En Master : 

Le cours ""épistémologie des sciences sociales"",  ""Histoire et civilisation contemporaine des Amériques"" pour son approche aréale, et enfin le module ""Technique d'enquête"" qui nous a formé au terrain de recherche en sciences sociales. ","Quand j'aurai obtenu ce master, j'aimerais devenir journaliste radio, spécialisé dans la culture et/ou la politique. "
4,4,0,0,0,4,0,PC4,France,Non,France,2021,Général,"Sciences économiques et sociales|Histoire géographie, géopolitique et sciences politiques",Très bien,Fournis,Oui,Non,Non,,Non,,,,,,,,,,,2,"Mairie de Janville-sur-Juine - 2 semaine(s)
Guillaume Gontard, Sénateur - 3 semaine(s)",5,2,"Parkours - 12 mois
Costal - 5 mois",17,Double licence Economie et Science politique,Université Paris I Panthéon-Sorbonne,"Semestre 1 : 14,817
Semestre 2 : 13,556
Semestre 3 : 11,686
Semestre 4 : 13,666
Semestre 5 : 13,538
Moyenne : 13,4526","Représentation politique, grandes controverses de la philosophie politique, organisation de l'Etat et action publique","J'aimerais m'orienter dans le secteur du développement culturel durable pour développer des stratégies visant à valoriser le patrimoine culturel, à soutenir les industries culturelles dans leur décarbonation et à promouvoir la diversité culturelle."
5,32,28,0,0,4,0,PC5,France,Non,France,2021,Général,"Sciences économiques et sociales|Histoire géographie, géopolitique et sciences politiques",Bien,"Fournis partiellement - Bonjour, Madame, Monsieur,

Je ne dispose pas de mon dernier relevé de note, c'est à dire celui du semestre six, car je suis en train de l'effectuer au moment où je dépose ma candidature. ",Oui,Non,Non,,Non,2021-2022,Licence,1ère année,Non,Humanités,"Droit, Économie, Gestion, Science politique","15,519","12,976",Université Paris-X (Paris 10) (Université Paris Nanterre) - 92001 - Nanterre,Non,1,Design Fax  - 1 semaine(s),1,2,"Vignoble Germain — Hervé Poteau  - 1 mois
Restaurant le TUB   - 2 mois",3,"Double Diplôme : Licence Humanités, droit, économie, gestions, science politique et Diplôme Universitaire cultures, langues et rhétorique. 
",Université Paris-Nanterre,"S1 : 15.519
S2: 12.976
S3 : 13.042 
S4 : 14.692 
S5 : 15.826
Total : 14,411","Histoire mondiale des idées politiques, 36h CM, 3 ECTS. 
Histoire des mondialisations, 18hCM-24hTD, 4,5 ECTS. 
Questions internationales approfondies, 36hCM, 3 ECTS. 
",Documentariste.
6,0,0,0,0,0,0,PC6,France,Non,France,2016,Général,Littéraire (L),Très bien,Fournis,Non,Non,Non,,Non,,,,,,,,,,,1,AVAAC associés  - 4 semaine(s),4,1,Retrogusto Nancy - 5 mois,5,Licence de Droit Mixte (Public et privé) ,Université de Lorraine - Nancy Campus Carnot ,"Semestre 1 : 10.3
Semestre 2 : 10.8
Semestre 3 : 9.7
Semestre 4 : 11.1
Semestre 5 : 11.617
Moyenne cumulée : 10.6834","Introduction à la science politique 
Institutions juridiques européennes 
Droit international public ","Dans un premier temps je souhaiterais m'orienter vers la médiation culturelle, j'espère par la suite intégrer le milieu administratif afin de participer à l'élaboration des politiques culturelles territoriales. "
7,4,0,0,0,4,0,PC7,France,Non,France,2021,Général,"Histoire géographie, géopolitique et sciences politiques|Mathématiques",Bien,Fournis,Oui,Non,Non,,Non,,,,,,,,,,,0,,0,2,"Staffme  - 36 mois
Mon Hotesse Bien Aimée  - 2 mois",38,Licence de sciences sociales ,Institut Catholique de Paris ,"S1 : 14,12 ; S2 : 14,4 ; S3 : 14,27 ; S4 : 14,78 ; S5 : 15,23
Moyenne cumulée : 14,56","Mécénat et éthique du financement ; Nouveaux enjeux du politique ; Sociologie de la culture, des médias et du numérique",Doctorat de sciences politiques pour in fine travailler dans la recherche 
8,0,0,0,0,0,0,PC8,France,Non,France,2017,Général,Economique et social (ES),Très bien,Fournis,Non,Non,Non,,Non,,,,,,,,,,,0,,0,0,,0,Licence en Science Politique,"Université Paris 8
","S1 : 14.66
S2 : 15
S3 : 15.5
S4 : 14.66
S5 : 13.05
Moyenne totale : 14.57","Action publique, Migrations, Discriminations
Epistémologie des sciences sociales
Politique et Société : Monde Africain","Communications des institutions, organisations et associations sportives
Journalisme"
9,4,0,0,0,4,0,PC9,France,Non,France,2021,Général,"Histoire géographie, géopolitique et sciences politiques|Langues, littératures et cultures étrangères et régionales	",Assez bien,Fournis,Oui,Non,Non,,Non,,,,,,,,,,,3,"France 3 Limousin  - 1 semaine(s)
Rivet Presse édition  - 3 semaine(s)
M6 - 1 semaine(s)",5,3,"Kisio Service  - 3 mois
Kisio Service  - 3 mois
Crepes and rolls - 3 mois",9,Licence 3 Géographie et Aménagement,Sorbonne Université ,"9,4 (Moyenne de deux années de Classes Préparatoires aux Grandes Écoles +  semestre 5 (L3)","-Géographie de la domination 
-Aménager les territoires européens 
- Méthodes et outils géographiques (analyses quantitatives et qualitatives) ",Journaliste reporter d'images 
10,4,0,0,0,4,0,PC10,France,Non,France,2021,Général,"Langues, littératures et cultures étrangères et régionales	|Humanités, littérature et philosophie	",Bien,Fournis,Oui,Non,Non,,Non,,,,,,,,,,,0,,0,1,Ville de Lyon - 1 mois,1,"Langues, Littératures, Civilisations Etrangères et Régionales Anglais",Université Lumière LYON II,"- s1: 13,724
- s2: 11,425
- s3: 10,762
- s4: 12,485
- s5: 11,472
moyenne totale: 11,890","- Civilisation britannique et américaine
- Politique américaine
- Histoire des Médias","Avec une spécialisation dans la culture et la politique, j'envisage une carrière dans la gestion de projets culturels, travaillant pour des institutions culturelles, des festivals, des fondations ou des agences gouvernementales, en organisant des événements culturels, en promouvant la diversité culturelle et en favorisant le dialogue interculturel."
